word	count
doesn't	1114
which	1100
fan	37
spray	25
donkeys	7
neigh	54
horses	71
cheep	9
crickets	13
peep	23
chicks	58
strawberries	67
never	367
absolutely	74
speak	49
children	192
shriek	5
peacocks	9
squawk	4
hens	14
talk	312
parrots	20
keys	52
pull	441
blow	188
elephants	65
bunnies	35
pigs	102
bunny	385
cookie	278
sun	373
break	235
minute	511
crumbs	24
many	549
let	1460
yours	187
open	743
billy	58
build	194
hammer	105
much	784
one's	369
balls	125
whoop	204
rocks	128
spot	229
bring	670
toothbrush	59
teeth	383
brushing	39
came	498
promise	13
real	167
run	273
string	104
broken	209
kick	69
kitty	409
pillow	98
hurt	258
together	509
test	30
when	2255
attention	29
pay	51
climb	126
notice	44
waiting	121
y'know	31
slow	76
you've	264
alone	125
mimi	8
neighborhood	12
laugh	41
such	203
light	327
stay	497
pants	318
ski	6
even	538
pretend	222
catch	274
swim	138
dive	15
christmas	113
ladder	64
wall	131
tell	1036
gotta	599
trying	390
cat	837
cracker	63
monkey	238
dada	64
easy	123
harry	32
mail	172
cook	114
rosita	17
letter	393
start	260
sedated	1
both	261
minutes	144
few	191
took	370
said	2407
hood	7
should	1661
vet	4
visits	11
rocky	15
peddles	3
microphone	591
haircuts	1
already	279
month	18
every	216
listen	217
engine	297
shh	208
balancing	12
jumps	49
camera	478
peddle	5
straighten	24
trampoline	7
brushes	27
eddy	19
ugh	39
magazine	35
people	522
steer	5
bounces	21
lot	614
time	1503
sneaker	7
page	430
skipped	35
rakes	4
day	958
friends	346
size	52
medium	16
snack	162
won't	390
plane	113
juice	439
scared	117
jam	64
shining	18
greet	4
morning	605
puddle	164
fruit	129
gobble	38
splash	76
man	377
ginger	25
fun	540
mustard	26
wet	261
gets	220
patriots	2
eggs	242
cream	254
ice	322
sardines	4
rope	55
different	598
slimy	18
skip	56
fly	229
first	850
playin'	2
whole	310
she	4052
babysat	1
windy	41
four	628
always	296
bernice	3
sandwich	92
scotch	4
hop	72
tub	42
scrubby	7
bars	23
bank	54
fold	80
bath	237
joins	4
pal	26
table	519
color	938
sand	126
lands	22
soap	76
send	56
yes	3078
man's	7
tuck	15
likes	389
vase	17
game	220
guessing	9
being	254
probably	384
boots	104
nook	3
cozy	63
cuddled	3
settle	12
shanties	2
seaside	9
sydney	4
purple	532
